Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
167857,,,EQUISETACEAE,Equisetum,,,,,Equisetum arvense,,,,arvense,L.,,,
203003,,,EQUISETACEAE,Equisetum,,,,,Equisetum hyemale,,,,hyemale,L.,,,
203004,,,EQUISETACEAE,Equisetum,,,,,Equisetum telmateia,,,,telmateia,Ehrh.,,,
203005,,,EQUISETACEAE,Equisetum,,,,,Equisetum variegatum,,,,variegatum,Schleich. ex F.Weber &amp; D.Mohr,,,
202930,,,ERICACEAE,Arbutus,,,,,Arbutus unedo,,,,unedo,L.,,,
165148,,,ERICACEAE,Arctostaphylos,,,,,Arctostaphylos uva-ursi,,,,uva-ursi,(L.) Spreng.,,,
202945,,,ERICACEAE,Calluna,,,,,Calluna vulgaris,,,,vulgaris,(L.) Hull,,,
202955,,,ERICACEAE,Chimaphila,,,,,Chimaphila umbellata,,,,umbellata,(L.) W.P.C. Barton,,,
203009,,,ERICACEAE,Rhododendron,,,,,Rhododendron tomentosum,,,,tomentosum,Harmaja,,,
201564,,,ERICACEAE,Vaccinium,,,,,Vaccinium myrtillus,,,,myrtillus,L.,,,
202939,,,FABACEAE,Astragalus,,,,,Astragalus glycyphyllos,,,,glycyphyllos,L.,,,
202951,,,FABACEAE,Ceratonia,,,,,Ceratonia siliqua,,,,siliqua,L.,,,
203352,,,FABACEAE,Galega,,,,,Galega officinalis,,,,officinalis,L.,,,
203353,,,FABACEAE,Glycyrrhiza,,,,,Glycyrrhiza glabra,,,,glabra,L.,,,
88314078,,,FABACEAE,Glycyrrhiza,,,,,Glycyrrhiza uralensis,,,,uralensis,Fisch. ex DC.,,,
174725,,,FABACEAE,Medicago,,,,,Medicago sativa,,,,sativa,L.,,,
176496,,,FABACEAE,Melilotus,,,,,Melilotus albus,,,,albus,Medik.,,,
176557,,,FABACEAE,Melilotus,,,,,Melilotus officinalis,,,,officinalis,(L.) Lam.,,,
203354,,,FABACEAE,Ononis,,,,,Ononis spinosa,,,,spinosa,L.,,,
172155,,,FABACEAE,Pisum,,,,,Pisum sativum,,,,sativum,L.,,,
174713,,,FABACEAE,Trifolium,,,,,Trifolium pratense,,,,pratense,L.,,,
202948,,,FAGACEAE,Castanea,,,,,Castanea sativa,,,,sativa,Mill.,,,
194129,,,FAGACEAE,Quercus,,,,,Quercus frainetto,,,,frainetto,Ten.,,,
62539,,,FAGACEAE,Quercus,,,,,Quercus petraea,,,,petraea,(Matt.) Liebl.,,,
63532,,,FAGACEAE,Quercus,,,,,Quercus robur,,,,robur,L.,,,
202950,,,GENTIANACEAE,Centaurium,,,,,Centaurium erythraea,,,,erythraea,Rafn,,,
203218,,,GENTIANACEAE,Gentiana,,,,,Gentiana asclepiadea,,,,asclepiadea,L.,,,
203219,,,GENTIANACEAE,Gentiana,,,,,Gentiana cruciata,,,,cruciata,L.,,,
162067,,,GENTIANACEAE,Gentiana,,,,,Gentiana lutea,,,,lutea,L.,,,
164379,,,GENTIANACEAE,Gentiana,,,,,Gentiana pneumonanthe,,,,pneumonanthe,L.,,,
203223,,,GERANIACEAE,Geranium,,,,,Geranium sanguineum,,,,sanguineum,L.,,,
203228,,,GROSSULARIACEAE,Ribes,,,,,Ribes nigrum,,,,nigrum,L.,,,
203230,,,HYPERICACEAE,Hypericum,,,,,Hypericum elegans,,,,elegans,Stephan ex Willd.,,,
203231,,,HYPERICACEAE,Hypericum,,,,,Hypericum perforatum,,,,perforatum,L.,,,
162048,,,IRIDACEAE,Iris,,,,,Iris aphylla,,,,aphylla,L.,,,
203233,,,IRIDACEAE,Iris,,,,,Iris lutescens,,,,lutescens,Lam.,,,
163999,,,IRIDACEAE,Iris,,,,,Iris pseudacorus,,,,pseudacorus,L.,,,
203235,,,IRIDACEAE,Iris,,,,,Iris pumila,,,,pumila,L.,,,
203236,,,IRIDACEAE,Iris,,,,,Iris sibirica,,,,sibirica,L.,,,
200242,,,IRIDACEAE,Iris,,,,,Iris spuria,,,,spuria,L.,,,
203237,,,IRIDACEAE,Iris,,,,,Iris xiphium,,,,xiphium,L.,,,
202940,,,LAMIACEAE,Ballota,,,,,Ballota nigra,,,,nigra,L.,,,
14961652,,,LAMIACEAE,Clinopodium,,,,,Clinopodium alpinum,,,,alpinum,(L.) Kuntze,,,
203250,,,LAMIACEAE,Clinopodium,,,,,Clinopodium serpyllifolium subsp. fruticosum,,,,serpyllifolium,(L.) Bräuchler,,,
203240,,,LAMIACEAE,Glechoma,,,,,Glechoma hederacea,,,,hederacea,L.,,,
203242,,,LAMIACEAE,Hyssopus,,,,,Hyssopus officinalis,,,,officinalis,L.,,,
203243,,,LAMIACEAE,Lamium,,,,,Lamium album,,,,album,L.,,,
