Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
203447,,,ROSACEAE,Rosa,,,,,Rosa canina,,,,canina,L.,,,
203448,,,ROSACEAE,Rosa,,,,,Rosa gallica,,,,gallica,L.,,,
55741716,,,ROSACEAE,Rosa,,,,,Rosa marginata,,,,marginata,Wallr.,,,
203450,,,ROSACEAE,Rosa,,,,,Rosa rubiginosa,,,,rubiginosa,L.,,,
203451,,,ROSACEAE,Rosa,,,,,Rosa stylosa,,,,stylosa,Desv.,,,
203452,,,ROSACEAE,Rosa,,,,,Rosa tomentosa,,,,tomentosa,Sm.,,,
203453,,,ROSACEAE,Rosa,,,,,Rosa villosa,,,,villosa,L.,,,
203454,,,ROSACEAE,Rubus,,,,,Rubus caesius,,,,caesius,L.,,,
203455,,,ROSACEAE,Rubus,,,,,Rubus fruticosus,,,,fruticosus,L.,,,
203456,,,ROSACEAE,Rubus,,,,,Rubus idaeus,,,,idaeus,L.,,,
203458,,,ROSACEAE,Sanguisorba,,,,,Sanguisorba officinalis,,,,officinalis,L.,,,
203459,,,RUBIACEAE,Galium,,,,,Galium aparine,,,,aparine,L.,,,
203460,,,RUBIACEAE,Galium,,,,,Galium odoratum,,,,odoratum,(L.) Scop.,,,
203461,,,RUBIACEAE,Galium,,,,,Galium verum,,,,verum,L.,,,
203463,,,RUTACEAE,Dictamnus,,,,,Dictamnus albus,,,,albus,L.,,,
203462,,,RUTACEAE,Ruta,,,,,Ruta graveolens,,,,graveolens,L.,,,
203464,,,SALICACEAE,Populus,,,,,Populus alba,,,,alba,L.,,,
203465,,,SALICACEAE,Salix,,,,,Salix alba,,,,alba,L.,,,
203470,,,SALICACEAE,Salix,,,,,Salix fragilis,,,,fragilis,L.,,,
203471,,,SALICACEAE,Salix,,,,,Salix purpurea,,,,purpurea,L.,,,
203473,,,SANTALACEAE,Viscum,,,,,Viscum album,,,,album,L.,,,
203474,,,SAXIFRAGACEAE,Chrysosplenium,,,,,Chrysosplenium alternifolium,,,,alternifolium,L.,,,
203475,,,SCROPHULARIACEAE,Scrophularia,,,,,Scrophularia nodosa,,,,nodosa,L.,,,
203476,,,SCROPHULARIACEAE,Verbascum,,,,,Verbascum densiflorum,,,,densiflorum,Bertol.,,,
203478,,,SCROPHULARIACEAE,Verbascum,,,,,Verbascum phlomoides,,,,phlomoides,L.,,,
203479,,,SCROPHULARIACEAE,Verbascum,,,,,Verbascum thapsus,,,,thapsus,L.,,,
203480,,,SMILACACEAE,Smilax,,,,,Smilax aspera,,,,aspera,L.,,,
162391,,,SOLANACEAE,Atropa,,,,,Atropa baetica,,,,baetica,Willk.,,,
203481,,,SOLANACEAE,Physalis,,,,,Physalis alkekengi,,,,alkekengi,L.,,,
203482,,,SOLANACEAE,Scopolia,,,,,Scopolia carniolica,,,,carniolica,Jacq.,,,
203483,,,SOLANACEAE,Solanum,,,,,Solanum dulcamara,,,,dulcamara,L.,,,
203484,,,SOLANACEAE,Withania,,,,,Withania somnifera,,,,somnifera,(L.) Dunal,,,
203485,,,THYMELAEACEAE,Daphne,,,,,Daphne laureola,,,,laureola,L.,,,
203486,,,THYMELAEACEAE,Daphne,,,,,Daphne mezereum,,,,mezereum,L.,,,
167815,,,URTICACEAE,Urtica,,,,,Urtica dioica,,,,dioica,L.,,,
203490,,,URTICACEAE,Urtica,,,,,Urtica urens,,,,urens,L.,,,
164308,,,VERBENACEAE,Verbena,,,,,Verbena officinalis,,,,officinalis,L.,,,
202956,,,VIBURNACEAE,Sambucus,,,,,Sambucus ebulus,,,,ebulus,L.,,,
61684,,,VIBURNACEAE,Sambucus,,,,,Sambucus nigra,,,,nigra,Lour.,,,
202957,,,VIBURNACEAE,Viburnum,,,,,Viburnum opulus,,,,opulus,L.,,,
203493,,,VIOLACEAE,Viola,,,,,Viola arvensis,,,,arvensis,Murray,,,
203494,,,VIOLACEAE,Viola,,,,,Viola canina,,,,canina,L.,,,
203495,,,VIOLACEAE,Viola,,,,,Viola odorata,,,,odorata,L.,,,
203496,,,VIOLACEAE,Viola,,,,,Viola tricolor,,,,tricolor,L.,,,
63537,,,VITACEAE,Vitis,,,,,Vitis vinifera,,,,vinifera,L.,,,
203497,,,ZYGOPHYLLACEAE,Tribulus,,,,,Tribulus terrestris,,,,terrestris,L.,,,
